tipo,id,nombre_original,destino_original,destino_trabajo,sha256
transcripcion,CR_C4,CR_C4.docx,corpus/criminalistica/jaramillo/00_fuentes_originales/transcripciones/CR_C4.docx,corpus/criminalistica/jaramillo/01_transcripciones_limpias/CR_C4/CR_C4__fuente.docx,51de716663bd4142c4e2509f7686b6522638333a6f6a526e73476f82a66a0dd4
transcripcion,CR_C1,CR_C1.docx,corpus/criminalistica/jaramillo/00_fuentes_originales/transcripciones/CR_C1.docx,corpus/criminalistica/jaramillo/01_transcripciones_limpias/CR_C1/CR_C1__fuente.docx,598066411010405ddda4873118460a30726049e242cf972d6df291ba9705e721
transcripcion,2026-03-11,11-03-2026.docx,corpus/criminalistica/jaramillo/00_fuentes_originales/transcripciones/11-03-2026.docx,corpus/criminalistica/jaramillo/01_transcripciones_limpias/2026-03-11/2026-03-11__fuente.docx,00c3ce93b32fcb07ed768d20e85d3cd0d0d6bc9d6aa3186582ed77503e5eea77
transcripcion,CR_C6,CR_C6.docx,corpus/criminalistica/jaramillo/00_fuentes_originales/transcripciones/CR_C6.docx,corpus/criminalistica/jaramillo/01_transcripciones_limpias/CR_C6/CR_C6__fuente.docx,641d8fa421a9d3cbe1cb75d3b5022ed9c38fa89c035c1c1cff7332c9298895e7
transcripcion,CR_8,CR_8.docx,corpus/criminalistica/jaramillo/00_fuentes_originales/transcripciones/CR_8.docx,corpus/criminalistica/jaramillo/01_transcripciones_limpias/CR_8/CR_8__fuente.docx,6a87610901dad90348d7f8492bc9a542b5c41adcb21f13d8d30a27197b9e6618
transcripcion,CR_C2,CR_C2.docx,corpus/criminalistica/jaramillo/00_fuentes_originales/transcripciones/CR_C2.docx,corpus/criminalistica/jaramillo/01_transcripciones_limpias/CR_C2/CR_C2__fuente.docx,54c96fd1dfd81b97d5a7980ed90201bc2d8b2fcf9cf18dd292e5bdc661e151f4
transcripcion,2026-03-18,18-03-2026.docx,corpus/criminalistica/jaramillo/00_fuentes_originales/transcripciones/18-03-2026.docx,corpus/criminalistica/jaramillo/01_transcripciones_limpias/2026-03-18/2026-03-18__fuente.docx,b42d6fb4cbf2c37bceb43a2ec7a3390ec3d2a469b4e00ccc76d4eba30fd0879f
transcripcion,CR_C7,CR_C7.docx,corpus/criminalistica/jaramillo/00_fuentes_originales/transcripciones/CR_C7.docx,corpus/criminalistica/jaramillo/01_transcripciones_limpias/CR_C7/CR_C7__fuente.docx,147f97d29d776c0f2820f6c7e65157e1b85464d7978d1fca0cfbabd580e8dc68
transcripcion,CR_C3,CR_C3.docx,corpus/criminalistica/jaramillo/00_fuentes_originales/transcripciones/CR_C3.docx,corpus/criminalistica/jaramillo/01_transcripciones_limpias/CR_C3/CR_C3__fuente.docx,e165cc47eb46ddf9adca138fbfe04ce110c70359126a44349c0d0f28d95032e6
transcripcion,CR_9,CR_9.docx,corpus/criminalistica/jaramillo/00_fuentes_originales/transcripciones/CR_9.docx,corpus/criminalistica/jaramillo/01_transcripciones_limpias/CR_9/CR_9__fuente.docx,cb6efcadac9a1777aef311d904191b3e2511d2acb782e71795da6df78c688762
transcripcion,CR_10,CR_10.docx,corpus/criminalistica/jaramillo/00_fuentes_originales/transcripciones/CR_10.docx,corpus/criminalistica/jaramillo/01_transcripciones_limpias/CR_10/CR_10__fuente.docx,630ae9b9e30758ba1e7a16dba36d9ce1ea865e32979f836f77dad0765307187d
transcripcion,2026-03-25,25-03-2026.docx,corpus/criminalistica/jaramillo/00_fuentes_originales/transcripciones/25-03-2026.docx,corpus/criminalistica/jaramillo/01_transcripciones_limpias/2026-03-25/2026-03-25__fuente.docx,36c5ce18b71c78fc2b63ac2d0abaae9edeea5f60c3333a67defa50c21928576b
transcripcion,2026-03-16,16-03-2026.docx,corpus/criminalistica/jaramillo/00_fuentes_originales/transcripciones/16-03-2026.docx,corpus/criminalistica/jaramillo/01_transcripciones_limpias/2026-03-16/2026-03-16__fuente.docx,9b537399d826ca06d44862d3936978a828f4734c81e59d11a345dc477e767b4b
transcripcion,CR_C5,CR_C5.docx,corpus/criminalistica/jaramillo/00_fuentes_originales/transcripciones/CR_C5.docx,corpus/criminalistica/jaramillo/01_transcripciones_limpias/CR_C5/CR_C5__fuente.docx,7d789ad9d054561e63f2c1bc51052ccc654480af0f0e6a4200693f7b6f2c2448
manual,MANUAL_POLICIA,Manual-de-Policia-Judicial-Actualizado.pdf,corpus/criminalistica/jaramillo/00_fuentes_originales/manuales/Manual-de-Policia-Judicial-Actualizado.pdf,,ea1057f3bf36ca33fb204718aff14609cd42741ba3e8b324d05844fcc6f514ad
manual,MANUAL_FISCALIA,MANUAL-DEL-SISTEMA-DE-CADENA-DE-CUSTODIA.pdf,corpus/criminalistica/jaramillo/00_fuentes_originales/manuales/MANUAL-DEL-SISTEMA-DE-CADENA-DE-CUSTODIA.pdf,,2e060346fe56763c22e7e77c9bd636c1c3d6f08503634d964de9be410435c5bb
